ID;DT_NOTIFIC;UMIDADE;TEMPERATURA;REGIAO
A282;25/05/2007;47;7,70;Ponta Grossa
A283;26/05/2007;35;10,89;Ponta Grossa
A284;27/05/2007;43;13,39;Ponta Grossa
A285;28/05/2007;52;0,11;Ponta Grossa
A286;29/05/2007;43;10,24;Ponta Grossa
A287;30/05/2007;36;5,13;Ponta Grossa
A288;31/05/2007;62;9,07;Ponta Grossa
A289;01/06/2007;59;13,73;Ponta Grossa
A290;03/06/2007;37;10,65;Ponta Grossa
A291;04/06/2007;22;8,42;Ponta Grossa
A292;05/06/2007;27;9,23;Ponta Grossa
A293;06/06/2007;35;10,34;Ponta Grossa
A294;07/06/2007;51;15,60;Ponta Grossa
A295;08/06/2007;46;16,18;Ponta Grossa
A296;09/06/2007;39;15,65;Ponta Grossa
A297;11/06/2007;46;14,96;Ponta Grossa
A298;12/06/2007;34;14,76;Ponta Grossa
A299;13/06/2007;34;15,52;Ponta Grossa
A300;14/06/2007;28;15,25;Ponta Grossa
A301;15/06/2007;38;16,24;Ponta Grossa
A302;16/06/2007;47;18,52;Ponta Grossa
A303;17/06/2007;41;16,49;Ponta Grossa
A304;18/06/2007;37;16,14;Ponta Grossa
A305;19/06/2007;45;16,00;Ponta Grossa
A306;20/06/2007;32;14,59;Ponta Grossa
A307;21/06/2007;39;14,39;Ponta Grossa
A308;22/06/2007;47;13,92;Ponta Grossa
A309;23/06/2007;41;16,77;Ponta Grossa
A310;24/06/2007;40;14,95;Ponta Grossa
A311;25/06/2007;84;12,12;Ponta Grossa
A312;27/06/2007;52;16,36;Ponta Grossa
A313;28/06/2007;27;13,79;Ponta Grossa
A314;29/06/2007;15;12,33;Ponta Grossa
A315;30/06/2007;18;9,57;Ponta Grossa
A316;01/07/2007;28;9,73;Ponta Grossa
A317;02/07/2007;37;9,84;Ponta Grossa
A318;03/07/2007;37;11,10;Ponta Grossa
A319;04/07/2007;35;11,53;Ponta Grossa
A320;05/07/2007;34;13,56;Ponta Grossa
A321;06/07/2007;30;15,62;Ponta Grossa
A322;07/07/2007;28;16,23;Ponta Grossa
A323;08/07/2007;41;18,07;Ponta Grossa
A324;11/07/2007;83;11,59;Ponta Grossa
A325;14/07/2007;42;16,98;Ponta Grossa
A326;15/07/2007;75;16,04;Ponta Grossa
A327;16/07/2007;87;13,69;Ponta Grossa
A328;19/07/2007;35;9,54;Ponta Grossa
A329;20/07/2007;27;10,42;Ponta Grossa
A330;21/07/2007;21;11,74;Ponta Grossa
A331;22/07/2007;51;16,68;Ponta Grossa
A332;23/07/2007;43;13,96;Ponta Grossa
A333;24/07/2007;89;9,52;Ponta Grossa
A334;26/07/2007;40;6,57;Ponta Grossa
A335;27/07/2007;29;6,82;Ponta Grossa
A336;28/07/2007;60;6,28;Ponta Grossa
A337;29/07/2007;52;6,08;Ponta Grossa
A338;31/07/2007;68;9,98;Ponta Grossa
A339;01/08/2007;46;13,60;Ponta Grossa
A340;02/08/2007;33;15,88;Ponta Grossa
A341;03/08/2007;40;16,23;Ponta Grossa
A342;04/08/2007;38;14,93;Ponta Grossa
A343;05/08/2007;78;11,82;Ponta Grossa
A344;06/08/2007;52;13,13;Ponta Grossa
A345;07/08/2007;39;15,57;Ponta Grossa
A346;08/08/2007;53;13,78;Ponta Grossa
A347;09/08/2007;40;15,55;Ponta Grossa
A348;10/08/2007;39;16,39;Ponta Grossa
A349;11/08/2007;41;15,44;Ponta Grossa
A350;12/08/2007;81;10,83;Ponta Grossa
A351;13/08/2007;39;15,25;Ponta Grossa
A352;14/08/2007;40;15,57;Ponta Grossa
A353;15/08/2007;34;16,46;Ponta Grossa
A354;16/08/2007;31;14,93;Ponta Grossa
A355;17/08/2007;43;13,92;Ponta Grossa
A356;18/08/2007;34;14,89;Ponta Grossa
A357;19/08/2007;36;15,67;Ponta Grossa
A358;20/08/2007;35;15,84;Ponta Grossa
A359;21/08/2007;51;12,57;Ponta Grossa
A360;22/08/2007;35;12,52;Ponta Grossa
A361;23/08/2007;26;13,88;Ponta Grossa
A362;24/08/2007;27;16,83;Ponta Grossa
A363;25/08/2007;25;18,42;Ponta Grossa
A364;26/08/2007;28;20,93;Ponta Grossa
A365;27/08/2007;63;14,98;Ponta Grossa
A366;28/08/2007;72;9,29;Ponta Grossa
A367;01/09/2007;35;18,11;Ponta Grossa
A368;02/09/2007;28;18,41;Ponta Grossa
A369;04/09/2007;34;18,21;Ponta Grossa
A370;05/09/2007;30;19,28;Ponta Grossa
A371;06/09/2007;30;18,41;Ponta Grossa
A372;07/09/2007;27;18,31;Ponta Grossa
A373;08/09/2007;29;18,47;Ponta Grossa
A374;09/09/2007;21;16,94;Ponta Grossa
A375;10/09/2007;23;17,97;Ponta Grossa
A376;12/09/2007;26;18,74;Ponta Grossa
A377;13/09/2007;25;18,17;Ponta Grossa
A378;14/09/2007;23;19,01;Ponta Grossa
A379;15/09/2007;30;19,57;Ponta Grossa
A380;16/09/2007;32;20,02;Ponta Grossa
A381;17/09/2007;65;16,33;Ponta Grossa
A382;18/09/2007;60;15,81;Ponta Grossa
A383;19/09/2007;38;19,52;Ponta Grossa
A384;20/09/2007;33;21,26;Ponta Grossa
A385;21/09/2007;58;20,69;Ponta Grossa
A386;22/09/2007;50;18,79;Ponta Grossa
A387;23/09/2007;30;21,59;Ponta Grossa
A388;24/09/2007;41;17,37;Ponta Grossa
A389;25/09/2007;42;9,40;Ponta Grossa
A390;26/09/2007;68;10,87;Ponta Grossa
A391;29/09/2007;67;16,06;Ponta Grossa
A392;30/09/2007;52;15,17;Ponta Grossa
A393;01/10/2007;72;13,51;Ponta Grossa
A394;02/10/2007;55;15,32;Ponta Grossa
A395;03/10/2007;39;17,32;Ponta Grossa
A396;04/10/2007;51;15,77;Ponta Grossa
A397;05/10/2007;20;17,43;Ponta Grossa
A398;06/10/2007;24;20,55;Ponta Grossa
A399;07/10/2007;24;20,17;Ponta Grossa
A400;08/10/2007;57;18,63;Ponta Grossa
A401;09/10/2007;35;20,29;Ponta Grossa
A402;10/10/2007;28;21,65;Ponta Grossa
A403;11/10/2007;37;20,56;Ponta Grossa
A404;12/10/2007;26;21,91;Ponta Grossa
A405;13/10/2007;48;21,43;Ponta Grossa
A406;14/10/2007;75;16,24;Ponta Grossa
A407;15/10/2007;80;15,91;Ponta Grossa
A408;16/10/2007;57;18,99;Ponta Grossa
A409;17/10/2007;23;19,60;Ponta Grossa
A410;19/10/2007;41;18,80;Ponta Grossa
A411;20/10/2007;35;20,63;Ponta Grossa
A412;21/10/2007;34;19,88;Ponta Grossa
A413;22/10/2007;62;17,06;Ponta Grossa
A414;23/10/2007;71;15,40;Ponta Grossa
A415;24/10/2007;81;14,05;Ponta Grossa
A416;26/10/2007;46;20,26;Ponta Grossa
A417;27/10/2007;38;21,63;Ponta Grossa
A418;29/10/2007;33;22,09;Ponta Grossa
A419;30/10/2007;43;21,45;Ponta Grossa
A420;31/10/2007;35;22,98;Ponta Grossa
A421;01/11/2007;46;20,87;Ponta Grossa
A422;02/11/2007;72;19,02;Ponta Grossa
A423;03/11/2007;61;19,57;Ponta Grossa
A424;04/11/2007;28;19,17;Ponta Grossa
A425;05/11/2007;56;16,92;Ponta Grossa
A426;06/11/2007;36;18,54;Ponta Grossa
A427;07/11/2007;42;20,28;Ponta Grossa
